Category,16-18,%16-18,19-21,%19-21,22-24,%22-24,Totals,%Totals
Total OY,"2,805",100,"7,284",100,"8,728",100,"18,817",100
No diploma,"1,610",57,"2,048",28,"1,981",23,"5,639",30
HS diploma or GED,985,35,"3,349",46,"3,067",35,"7,401",39
"Some college, no degree",179,6,"1,666",23,"1,763",20,"3,608",19
Degree(AA or higher),31,1,221,3,1917,22,2169,12
