rt,serialno,division,sporder,puma,region,st,adjinc,pwgtp,agep,cit,citwp,cow,ddrs,dear,deye,dout,dphy,drat,dratx,drem,eng,fer,gcl,gcm,gcr,hins1,hins2,hins3,hins4,hins5,hins6,hins7,intp,jwmnp,jwrip,jwtr,lanx,mar,marhd,marhm,marht,marhw,marhyp,mig,mil,mlpa,mlpb,mlpcd,mlpe,mlpfg,mlph,mlpi,mlpj,mlpk,nwab,nwav,nwla,nwlk,nwre,oip,pap,relp,retp,sch,schg,schl,semp,sex,ssip,ssp,wagp,wkhp,wkl,wkw,wrk,yoep,anc,anc1p,anc2p,decade,dis,drivesp,esp,esr,fod1p,fod2p,hicov,hisp,indp,jwap,jwdp,lanp,migpuma,migsp,msp,naicsp,nativity,nop,oc,occp,paoc,pernp,pincp,pobp,povpip,powpuma,powsp,privcov,pubcov,qtrbir,rac1p,rac2p,rac3p,racaian,racasn,racblk,racnh,racnum,racpi,racsor,racwht,rc,sciengp,sciengrlp,sfn,sfr,socp,vps,waob,fagep,fancp,fcitp,fcitwp,fcowp,fddrsp,fdearp,fdeyep,fdisp,fdoutp,fdphyp,fdratp,fdratxp,fdremp,fengp,fesrp,fferp,ffodp,fgclp,fgcmp,fgcrp,fhicovp,fhins1p,fhins2p,fhins3c,fhins3p,fhins4c,fhins4p,fhins5c,fhins5p,fhins6p,fhins7p,fhisp,findp,fintp,fjwdp,fjwmnp,fjwrip,fjwtrp,flanp,flanxp,fmarp,fmarhdp,fmarhmp,fmarhtp,fmarhwp,fmarhyp,fmigp,fmigsp,fmilpp,fmilsp,foccp,foip,fpap,fpernp,fpincp,fpobp,fpowsp,fprivcovp,fpubcovp,fracp,frelp,fretp,fschgp,fschlp,fschp,fsemp,fsexp,fssip,fssp,fwagp,fwkhp,fwklp,fwkwp,fwrkp,fyoep,pwgtp1,pwgtp2,pwgtp3,pwgtp4,pwgtp5,pwgtp6,pwgtp7,pwgtp8,pwgtp9,pwgtp10,pwgtp11,pwgtp12,pwgtp13,pwgtp14,pwgtp15,pwgtp16,pwgtp17,pwgtp18,pwgtp19,pwgtp20,pwgtp21,pwgtp22,pwgtp23,pwgtp24,pwgtp25,pwgtp26,pwgtp27,pwgtp28,pwgtp29,pwgtp30,pwgtp31,pwgtp32,pwgtp33,pwgtp34,pwgtp35,pwgtp36,pwgtp37,pwgtp38,pwgtp39,pwgtp40,pwgtp41,pwgtp42,pwgtp43,pwgtp44,pwgtp45,pwgtp46,pwgtp47,pwgtp48,pwgtp49,pwgtp50,pwgtp51,pwgtp52,pwgtp53,pwgtp54,pwgtp55,pwgtp56,pwgtp57,pwgtp58,pwgtp59,pwgtp60,pwgtp61,pwgtp62,pwgtp63,pwgtp64,pwgtp65,pwgtp66,pwgtp67,pwgtp68,pwgtp69,pwgtp70,pwgtp71,pwgtp72,pwgtp73,pwgtp74,pwgtp75,pwgtp76,pwgtp77,pwgtp78,pwgtp79,pwgtp80
P,2013001038474,9,02,11614,4,53,1061971,24.0,16.0,1.0,,,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,12,12,0.0,2,0.0,0.0,0.0,,3,,2,,1,195,999,,2,,5,6,,,1,01,,,,,,,6,,1,5,1,,4,0.0,0.0,053,248.0,,,1,2,4,1,01,001,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,10.0,47.0,26.0,27.0,34.0,20.0,24.0,43.0,22.0,29.0,26.0,42.0,7.0,6.0,7.0,7.0,43.0,25.0,30.0,24.0,41.0,7.0,20.0,23.0,7.0,27.0,25.0,6.0,25.0,31.0,25.0,8.0,46.0,51.0,40.0,33.0,8.0,26.0,25.0,32.0,7.0,41.0,26.0,25.0,44.0,26.0,24.0,48.0,29.0,20.0,20.0,41.0,8.0,8.0,7.0,9.0,43.0,29.0,26.0,23.0,35.0,9.0,23.0,22.0,8.0,27.0,24.0,6.0,22.0,25.0,25.0,7.0,33.0,40.0,43.0,46.0,7.0,24.0,22.0
P,2013001039889,9,03,11611,4,53,1061971,18.0,24.0,5.0,,1,2,2,2,2,2,,,2,2,,,,,1,2,2,2,2,2,2,0.0,50.0,1.0,01,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,21,0.0,1,0.0,0.0,20000.0,40.0,1,1,1,2010.0,1,237,999,8,2,1,,1,2102,,1,19,8660,089,040,1200,,,6,7211    ,2,,0,6420,,20000.0,20000.0,370,254.0,11600,053,1,2,4,1,01,001,0,0,0,0,1,0,0,1,0,1,2,,,472140,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,15.0,16.0,17.0,29.0,15.0,5.0,17.0,5.0,6.0,44.0,18.0,30.0,21.0,20.0,34.0,20.0,28.0,5.0,14.0,6.0,17.0,20.0,19.0,27.0,18.0,5.0,22.0,4.0,4.0,35.0,16.0,27.0,16.0,18.0,30.0,19.0,38.0,5.0,18.0,30.0,17.0,15.0,17.0,7.0,16.0,22.0,20.0,26.0,26.0,5.0,24.0,5.0,16.0,18.0,5.0,18.0,6.0,39.0,23.0,27.0,22.0,19.0,16.0,5.0,22.0,30.0,16.0,25.0,25.0,5.0,18.0,5.0,24.0,20.0,5.0,21.0,6.0,27.0,26.0
P,2013001042642,9,03,11604,4,53,1061971,26.0,21.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,30.0,,02,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,2,15,19,0.0,1,0.0,0.0,10600.0,20.0,1,3,1,,2,902,924,,2,,,1,,,1,01,8680,121,076,,,,6,722Z    ,1,,0,4130,,10600.0,10600.0,006,501.0,11600,053,1,2,4,9,68,016,0,0,1,0,2,0,0,1,0,,,,,3590XX,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48.0,10.0,5.0,29.0,11.0,19.0,22.0,47.0,31.0,35.0,27.0,45.0,26.0,29.0,8.0,27.0,25.0,6.0,43.0,36.0,30.0,22.0,24.0,46.0,25.0,11.0,37.0,22.0,62.0,37.0,9.0,19.0,6.0,39.0,39.0,6.0,7.0,26.0,20.0,20.0,8.0,38.0,39.0,29.0,34.0,42.0,25.0,4.0,27.0,8.0,27.0,6.0,21.0,33.0,64.0,30.0,31.0,63.0,7.0,10.0,21.0,33.0,25.0,9.0,18.0,32.0,8.0,35.0,8.0,19.0,38.0,39.0,37.0,10.0,20.0,57.0,46.0,23.0,29.0,30.0
P,2013001042642,9,04,11604,4,53,1061971,26.0,16.0,1.0,,,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,3,12,12,0.0,1,0.0,13000.0,0.0,,3,,2,,2,902,924,,2,,3,6,,,1,01,,,,,,,6,,1,1,1,,,0.0,13000.0,006,501.0,,,1,2,3,9,68,016,0,0,1,0,2,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45.0,8.0,13.0,39.0,14.0,22.0,22.0,33.0,27.0,41.0,22.0,36.0,24.0,25.0,10.0,22.0,21.0,6.0,39.0,63.0,16.0,34.0,43.0,52.0,34.0,10.0,78.0,20.0,24.0,17.0,7.0,35.0,7.0,37.0,23.0,9.0,7.0,26.0,26.0,29.0,8.0,37.0,55.0,28.0,53.0,24.0,40.0,6.0,22.0,9.0,18.0,8.0,36.0,24.0,45.0,35.0,23.0,27.0,9.0,12.0,16.0,28.0,38.0,7.0,34.0,32.0,9.0,27.0,7.0,32.0,35.0,20.0,31.0,9.0,22.0,33.0,46.0,29.0,27.0,33.0
P,2013001046725,9,02,11613,4,53,1061971,28.0,20.0,1.0,,4,2,2,2,2,2,,,2,1,,,,,2,2,2,2,1,2,2,0.0,15.0,,12,1,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,2,15,20,0.0,1,0.0,0.0,8000.0,19.0,1,3,1,,1,234,999,,2,,,1,,,1,16,7870,151,094,1200,11600,053,6,611M1   ,1,,0,2440,,8000.0,8000.0,029,219.0,11600,053,1,2,1,1,01,001,0,0,0,0,1,0,0,1,0,,,,,254031,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,39.0,26.0,32.0,34.0,26.0,42.0,28.0,33.0,9.0,13.0,42.0,38.0,8.0,26.0,48.0,8.0,9.0,34.0,28.0,30.0,46.0,30.0,34.0,33.0,24.0,40.0,34.0,26.0,7.0,8.0,53.0,50.0,10.0,24.0,41.0,10.0,7.0,30.0,32.0,33.0,39.0,32.0,39.0,30.0,30.0,41.0,28.0,25.0,10.0,10.0,50.0,56.0,8.0,25.0,58.0,8.0,9.0,30.0,31.0,27.0,52.0,26.0,34.0,26.0,25.0,41.0,30.0,22.0,5.0,11.0,35.0,38.0,9.0,24.0,44.0,11.0,9.0,28.0,30.0
P,2013001046725,9,03,11613,4,53,1061971,30.0,18.0,1.0,,4,2,2,2,2,2,,,2,1,2,,,,2,2,2,2,1,2,2,0.0,,,,1,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,15,19,0.0,2,0.0,0.0,800.0,3.0,1,4,2,,1,234,999,,2,,,6,,,1,16,8560,,,1200,11600,053,6,711     ,1,,0,4720,4,800.0,800.0,006,219.0,,,1,2,3,1,01,001,0,0,0,0,1,0,0,1,0,,,,,412010,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,54.0,30.0,33.0,30.0,48.0,34.0,27.0,46.0,10.0,8.0,46.0,41.0,13.0,25.0,51.0,10.0,11.0,38.0,27.0,33.0,49.0,32.0,36.0,29.0,33.0,55.0,22.0,38.0,8.0,10.0,59.0,37.0,9.0,24.0,43.0,9.0,10.0,40.0,31.0,34.0,59.0,29.0,23.0,39.0,33.0,40.0,21.0,34.0,12.0,5.0,47.0,50.0,10.0,46.0,52.0,14.0,9.0,41.0,40.0,36.0,40.0,34.0,38.0,19.0,29.0,59.0,44.0,32.0,10.0,8.0,38.0,52.0,10.0,21.0,38.0,11.0,10.0,41.0,23.0
P,2013001041445,9,03,11612,4,53,1061971,29.0,22.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,2,2,2,2,2,2,2,0.0,25.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,19,0.0,2,0.0,0.0,2400.0,24.0,1,6,2,,1,032,999,,2,1,,1,,,2,01,8680,111,067,,11600,053,6,722Z    ,1,,0,4030,4,2400.0,2400.0,053,281.0,11600,053,2,2,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,352021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8.0,42.0,8.0,31.0,34.0,53.0,48.0,27.0,9.0,48.0,25.0,31.0,27.0,39.0,10.0,10.0,29.0,30.0,27.0,9.0,32.0,29.0,34.0,44.0,25.0,30.0,27.0,10.0,37.0,26.0,49.0,8.0,41.0,42.0,29.0,22.0,9.0,8.0,39.0,29.0,9.0,52.0,9.0,28.0,55.0,42.0,42.0,37.0,8.0,46.0,31.0,27.0,30.0,24.0,8.0,9.0,26.0,27.0,25.0,10.0,26.0,29.0,27.0,50.0,24.0,25.0,25.0,8.0,26.0,27.0,43.0,8.0,46.0,53.0,27.0,30.0,8.0,10.0,48.0,28.0
P,2013001048327,9,04,11611,4,53,1061971,14.0,24.0,1.0,,2,2,2,2,1,2,,,1,,,,,,1,2,2,1,2,2,2,0.0,10.0,2.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,16,0.0,1,8400.0,0.0,940.0,2.0,1,6,1,,1,720,999,,1,2,,1,,,1,01,6490,150,094,,,,6,5112    ,1,,0,1020,,940.0,9340.0,022,501.0,11600,053,1,1,3,6,45,006,0,1,0,0,1,0,0,0,0,,,,,15113X,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,5.0,16.0,4.0,15.0,15.0,4.0,17.0,22.0,5.0,4.0,22.0,16.0,19.0,28.0,16.0,24.0,13.0,11.0,4.0,17.0,27.0,13.0,32.0,15.0,13.0,27.0,14.0,5.0,23.0,23.0,4.0,14.0,12.0,4.0,14.0,5.0,15.0,17.0,31.0,12.0,4.0,15.0,5.0,14.0,17.0,5.0,17.0,22.0,4.0,5.0,23.0,17.0,17.0,23.0,15.0,22.0,14.0,11.0,4.0,16.0,29.0,15.0,22.0,15.0,17.0,28.0,15.0,4.0,20.0,26.0,5.0,14.0,14.0,6.0,16.0,3.0,14.0,14.0,20.0
P,2013001050955,9,02,11610,4,53,1061971,20.0,21.0,1.0,,1,2,2,2,2,2,,,2,,,,,,2,2,2,2,2,2,2,0.0,25.0,,02,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,17,0.0,1,0.0,0.0,2500.0,25.0,1,3,1,,2,026,084,,2,,,1,,,2,01,8680,108,064,,00190,008,6,722Z    ,1,,0,4150,,2500.0,2500.0,053,215.0,11600,053,2,2,1,9,68,016,0,0,1,0,2,0,0,1,0,,,,,359031,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,17.0,36.0,20.0,5.0,22.0,25.0,22.0,4.0,17.0,6.0,43.0,23.0,30.0,22.0,19.0,22.0,47.0,37.0,28.0,27.0,8.0,13.0,28.0,23.0,30.0,35.0,7.0,24.0,10.0,15.0,21.0,5.0,20.0,5.0,28.0,40.0,25.0,17.0,17.0,24.0,7.0,15.0,42.0,17.0,47.0,29.0,5.0,21.0,6.0,18.0,20.0,7.0,25.0,6.0,37.0,36.0,24.0,21.0,7.0,5.0,19.0,32.0,23.0,5.0,19.0,22.0,17.0,7.0,24.0,7.0,37.0,25.0,27.0,22.0,20.0,16.0,40.0,35.0,7.0
P,2013001050955,9,03,11610,4,53,1061971,56.0,18.0,1.0,,,2,2,2,2,2,,,2,,2,,,,2,1,2,1,2,2,2,21000.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,13,14,0.0,2,3500.0,0.0,0.0,,3,,2,,2,026,084,,2,,,6,,,1,01,,,,,,,6,,1,,0,,4,0.0,24500.0,053,215.0,,,1,1,1,9,68,016,0,0,1,0,2,0,0,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,57.0,92.0,71.0,15.0,66.0,63.0,41.0,18.0,51.0,19.0,97.0,75.0,62.0,56.0,54.0,57.0,100.0,58.0,89.0,72.0,23.0,36.0,80.0,57.0,76.0,103.0,14.0,71.0,22.0,58.0,48.0,15.0,50.0,17.0,74.0,84.0,73.0,80.0,55.0,52.0,24.0,60.0,112.0,62.0,96.0,94.0,19.0,51.0,13.0,48.0,50.0,18.0,63.0,19.0,136.0,89.0,77.0,59.0,21.0,17.0,63.0,85.0,76.0,15.0,46.0,64.0,49.0,15.0,43.0,17.0,109.0,58.0,96.0,75.0,30.0,35.0,118.0,74.0,19.0
P,2013001053142,9,03,11615,4,53,1061971,17.0,18.0,1.0,,,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,14,16,0.0,2,0.0,0.0,0.0,,3,,2,,1,050,999,,2,,,6,,,1,01,,,,,11600,053,6,,1,,0,,4,0.0,0.0,053,258.0,,,1,2,1,1,01,001,0,0,0,0,1,0,0,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,17.0,41.0,19.0,16.0,29.0,17.0,6.0,27.0,24.0,5.0,20.0,18.0,5.0,19.0,6.0,16.0,19.0,17.0,26.0,5.0,14.0,6.0,18.0,20.0,6.0,18.0,33.0,5.0,6.0,29.0,16.0,17.0,32.0,15.0,27.0,20.0,16.0,19.0,29.0,7.0,20.0,6.0,16.0,17.0,4.0,19.0,30.0,5.0,6.0,27.0,16.0,18.0,29.0,16.0,35.0,18.0,15.0,20.0,5.0,24.0,18.0,26.0,19.0,17.0,33.0,22.0,5.0,34.0,34.0,4.0,16.0,17.0,7.0,17.0,4.0,18.0,17.0,17.0,6.0
P,2013001059135,9,03,11604,4,53,1061971,32.0,21.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,20.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,2,1,2,1,3,0.0,0.0,02,0.0,3,15,16,0.0,1,0.0,0.0,800.0,20.0,1,6,1,,2,211,902,,2,1,,1,,,1,02,6570,110,067,,,,6,5121    ,1,,0,4720,,800.0,800.0,053,493.0,11600,053,1,2,3,2,02,002,0,0,1,0,1,0,0,0,0,,,,,412010,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,35.0,45.0,36.0,80.0,29.0,25.0,61.0,28.0,12.0,76.0,61.0,7.0,25.0,24.0,10.0,40.0,10.0,41.0,11.0,33.0,43.0,51.0,36.0,52.0,31.0,24.0,76.0,45.0,10.0,53.0,75.0,9.0,28.0,28.0,7.0,30.0,9.0,30.0,57.0,45.0,23.0,11.0,37.0,7.0,29.0,31.0,9.0,31.0,65.0,10.0,8.0,62.0,32.0,29.0,54.0,29.0,53.0,43.0,45.0,37.0,40.0,9.0,38.0,10.0,43.0,22.0,7.0,30.0,55.0,13.0,12.0,73.0,29.0,42.0,62.0,35.0,50.0,24.0,9.0
P,2013001059963,9,01,11615,4,53,1061971,66.0,20.0,1.0,,1,2,2,2,2,2,,,2,1,2,,,,2,2,2,2,2,2,2,0.0,30.0,2.0,01,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,00,0.0,1,,16,0.0,2,0.0,0.0,5000.0,30.0,1,1,1,,2,211,222,,2,2,,1,,,2,07,5070,178,106,1200,,,6,44611   ,1,,0,5620,1,5000.0,5000.0,006,21.0,11600,053,2,2,3,8,67,015,0,0,0,0,1,0,1,0,0,,,,,435081,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,81.0,68.0,58.0,47.0,30.0,62.0,30.0,60.0,62.0,24.0,70.0,88.0,25.0,38.0,99.0,65.0,78.0,77.0,37.0,60.0,29.0,52.0,72.0,78.0,69.0,92.0,73.0,60.0,74.0,87.0,71.0,49.0,120.0,76.0,30.0,53.0,52.0,21.0,33.0,70.0,23.0,58.0,89.0,58.0,91.0,47.0,85.0,46.0,49.0,108.0,88.0,23.0,73.0,83.0,27.0,54.0,88.0,27.0,72.0,83.0,115.0,77.0,52.0,84.0,29.0,61.0,29.0,56.0,68.0,29.0,61.0,91.0,31.0,26.0,106.0,71.0,57.0,95.0,101.0
P,2013001059963,9,03,11615,4,53,1061971,75.0,21.0,1.0,,9,2,2,2,2,2,,,2,1,2,,,,2,2,2,1,2,2,2,0.0,,,,1,5,,,,,,1,4,,,,,,,,,,2,1,2,1,3,0.0,0.0,05,0.0,1,,12,0.0,2,0.0,0.0,0.0,,3,,2,,2,211,222,,2,,,3,,,1,02,9920,,,1200,,,6,9920    ,1,,0,9920,1,0.0,0.0,006,21.0,,,2,1,3,8,67,015,0,0,0,0,1,0,1,0,0,,,1,3,999920,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.0,92.0,80.0,71.0,49.0,32.0,69.0,35.0,68.0,72.0,26.0,81.0,102.0,27.0,45.0,114.0,72.0,95.0,82.0,42.0,67.0,32.0,59.0,85.0,91.0,76.0,101.0,86.0,71.0,83.0,100.0,78.0,56.0,141.0,82.0,35.0,59.0,58.0,25.0,38.0,82.0,28.0,64.0,103.0,68.0,100.0,61.0,90.0,52.0,56.0,128.0,98.0,27.0,84.0,100.0,31.0,61.0,103.0,31.0,84.0,93.0,136.0,91.0,60.0,87.0,32.0,69.0,30.0,68.0,80.0,34.0,70.0,101.0,36.0,28.0,122.0,79.0,63.0,109.0,113.0
P,2013001059419,9,03,11604,4,53,1061971,17.0,17.0,1.0,,,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,13,14,0.0,2,0.0,0.0,0.0,,3,,2,,4,999,999,,2,,1,6,,,1,01,,,,,,,6,,1,1,1,,4,0.0,0.0,006,501.0,,,1,2,2,1,01,001,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,21.0,14.0,5.0,7.0,4.0,5.0,14.0,5.0,14.0,8.0,23.0,17.0,16.0,18.0,5.0,5.0,16.0,17.0,16.0,18.0,29.0,31.0,13.0,18.0,11.0,14.0,38.0,16.0,30.0,25.0,30.0,29.0,24.0,31.0,17.0,19.0,23.0,32.0,5.0,7.0,17.0,14.0,4.0,4.0,8.0,6.0,17.0,5.0,23.0,4.0,19.0,22.0,18.0,15.0,7.0,6.0,14.0,18.0,22.0,18.0,31.0,31.0,16.0,14.0,15.0,23.0,23.0,20.0,28.0,12.0,25.0,26.0,36.0,32.0,13.0,14.0,29.0,22.0,6.0
P,2013001025529,9,03,11604,4,53,1061971,14.0,22.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,20.0,,02,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,12,0.0,3,15,21,0.0,2,0.0,0.0,9700.0,25.0,1,1,1,,1,050,999,,2,,,1,3700,,1,01,7270,089,046,,11600,053,6,5411    ,1,,0,5820,4,9700.0,9700.0,008,81.0,11600,053,1,2,2,1,01,001,0,0,0,0,1,0,0,1,0,1,2,,,439022,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,1,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,14.0,16.0,16.0,16.0,24.0,15.0,14.0,5.0,4.0,28.0,21.0,4.0,14.0,21.0,5.0,5.0,13.0,14.0,22.0,11.0,14.0,14.0,15.0,14.0,21.0,11.0,13.0,4.0,4.0,20.0,21.0,4.0,12.0,25.0,5.0,5.0,16.0,14.0,19.0,14.0,16.0,17.0,15.0,15.0,24.0,15.0,13.0,4.0,4.0,19.0,27.0,4.0,14.0,25.0,5.0,5.0,14.0,13.0,20.0,13.0,13.0,15.0,15.0,18.0,24.0,12.0,12.0,6.0,6.0,22.0,24.0,5.0,10.0,21.0,3.0,4.0,17.0,13.0,26.0,17.0
P,2013001067460,9,03,11614,4,53,1061971,4.0,16.0,1.0,,,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,13,13,0.0,1,0.0,0.0,0.0,,3,,2,,2,082,089,,2,,1,6,,,1,01,,,,,,,6,,1,1,1,,,0.0,0.0,053,213.0,,,1,2,2,1,01,001,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,8.0,4.0,4.0,1.0,1.0,6.0,6.0,2.0,4.0,6.0,1.0,4.0,7.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,6.0,7.0,2.0,1.0,8.0,4.0,1.0,7.0,4.0,1.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,4.0,3.0,1.0,1.0,6.0,8.0,2.0,4.0,6.0,2.0,4.0,7.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,6.0,6.0,1.0,1.0,7.0,4.0,1.0,6.0,4.0
