Category,16-18,19-21,22-24,Totals
No diploma,"1,610","2,048","1,981","5,639"
HS diploma or GED,985,"3,349","3,067","7,401"
"Some college, no degree",179,"1,666","1,763","3,608"
Degree(AA or higher),31,221,"1,917","2,169"
Total OY,"2,805","7,284","8,728","18,817"
