,education_attained,enrollment_status,age,sample_weight,employed
198,10,1,13.0,33.0,1
199,06,1,10.0,24.0,1
200,18,0,45.0,21.0,1
201,21,0,45.0,14.0,1
202,16,0,54.0,100.0,1
203,16,0,56.0,77.0,1
204,21,0,59.0,24.0,1
205,19,0,60.0,26.0,1
206,14,0,24.0,20.0,1
207,19,0,54.0,11.0,1
208,17,0,19.0,11.0,1
209,21,0,62.0,14.0,1
210,19,0,44.0,23.0,1
211,17,0,61.0,23.0,1
212,21,0,60.0,22.0,1
213,16,0,64.0,17.0,1
214,16,0,62.0,16.0,1
215,17,1,78.0,17.0,1
216,22,0,61.0,14.0,1
217,12,0,15.0,13.0,1
218,19,0,47.0,22.0,1
219,21,0,42.0,22.0,1
220,09,0,12.0,18.0,1
221,07,0,10.0,19.0,1
222,06,0,9.0,20.0,1
223,21,0,70.0,14.0,1
224,21,0,66.0,18.0,1
225,14,0,30.0,6.0,1
226,20,0,20.0,12.0,1
227,19,0,21.0,14.0,1
228,19,0,20.0,14.0,1
229,12,0,58.0,13.0,1
230,13,0,60.0,13.0,1
231,21,0,27.0,14.0,0
232,21,1,27.0,11.0,1
233,16,1,27.0,19.0,1
234,17,0,63.0,15.0,1
235,17,0,65.0,16.0,1
236,16,0,43.0,18.0,1
237,16,0,21.0,17.0,1
238,13,0,18.0,16.0,1
239,18,0,18.0,24.0,1
240,10,0,13.0,14.0,1
241,22,0,68.0,26.0,1
242,16,0,30.0,25.0,1
243,16,0,28.0,35.0,1
244,01,0,4.0,32.0,1
245,16,0,45.0,28.0,1
246,08,0,45.0,29.0,1
247,14,0,21.0,40.0,1
248,15,0,19.0,24.0,1
249,11,0,81.0,8.0,1
250,18,0,47.0,14.0,1
251,13,0,16.0,11.0,1
252,23,0,56.0,22.0,1
253,06,0,32.0,13.0,1
254,06,0,37.0,15.0,1
255,03,0,6.0,16.0,1
256,01,0,4.0,18.0,1
257,21,0,36.0,26.0,1
258,22,0,31.0,14.0,1
259,21,1,29.0,14.0,1
260,22,0,32.0,14.0,0
261,16,0,68.0,3.0,1
262,20,0,38.0,21.0,1
263,17,0,39.0,20.0,1
264,07,0,11.0,19.0,1
265,06,0,9.0,18.0,1
266,21,0,49.0,21.0,1
267,20,0,45.0,15.0,1
268,19,0,54.0,16.0,1
269,17,0,55.0,16.0,1
270,21,0,25.0,20.0,1
271,19,0,22.0,16.0,1
272,16,0,54.0,13.0,1
273,17,0,35.0,11.0,1
274,16,0,53.0,16.0,1
275,10,0,13.0,11.0,1
276,16,0,50.0,11.0,1
277,19,0,57.0,66.0,0
278,21,0,60.0,20.0,1
279,16,0,49.0,13.0,1
280,16,0,48.0,14.0,1
281,19,0,19.0,13.0,1
282,11,0,14.0,15.0,1
283,14,0,49.0,25.0,1
284,16,0,43.0,28.0,1
285,12,0,64.0,25.0,1
286,19,0,38.0,24.0,1
287,13,0,73.0,20.0,1
288,17,0,79.0,9.0,1
289,19,0,51.0,10.0,1
290,19,0,50.0,10.0,1
291,17,0,53.0,22.0,1
292,16,0,61.0,25.0,1
293,19,0,70.0,12.0,1
294,18,0,59.0,12.0,1
295,21,0,56.0,19.0,1
296,21,1,44.0,20.0,1
297,21,0,47.0,13.0,1
298,21,0,43.0,13.0,1
299,04,0,7.0,12.0,1
300,02,0,5.0,12.0,1
301,19,0,39.0,66.0,1
302,14,0,17.0,60.0,1
303,19,1,77.0,4.0,1
304,18,0,62.0,15.0,1
305,18,0,61.0,15.0,1
306,22,0,59.0,18.0,1
307,20,0,70.0,4.0,1
308,20,0,84.0,15.0,1
309,21,0,67.0,26.0,1
310,21,0,65.0,22.0,1
311,19,0,22.0,67.0,1
312,19,0,20.0,61.0,1
313,19,0,94.0,12.0,1
314,19,0,55.0,16.0,1
315,21,0,33.0,13.0,1
316,20,0,26.0,20.0,1
317,16,0,55.0,4.0,1
318,16,0,55.0,4.0,1
319,16,0,24.0,5.0,1
320,16,0,20.0,5.0,1
321,14,0,18.0,4.0,1
322,21,0,62.0,27.0,1
323,22,0,63.0,29.0,1
324,21,0,33.0,20.0,1
325,21,1,32.0,20.0,1
326,02,0,5.0,1.0,1
327,16,0,28.0,22.0,1
328,21,0,1.0,25.0,1
329,21,0,0.0,25.0,1
330,16,0,27.0,25.0,1
331,19,0,22.0,25.0,1
332,18,0,21.0,22.0,1
333,15,0,26.0,25.0,1
334,20,0,77.0,12.0,1
335,18,0,83.0,12.0,1
336,21,0,44.0,22.0,1
337,21,0,44.0,24.0,0
338,13,0,94.0,11.0,1
339,23,0,33.0,26.0,1
340,19,0,36.0,16.0,1
341,21,0,35.0,17.0,1
342,05,0,8.0,14.0,1
343,20,0,47.0,66.0,1
344,16,0,47.0,54.0,1
345,16,0,90.0,3.0,1
346,22,0,56.0,12.0,0
347,22,0,60.0,12.0,1
348,18,0,63.0,25.0,1
349,21,0,64.0,25.0,1
350,11,0,83.0,13.0,1
351,16,0,76.0,12.0,1
352,19,0,55.0,14.0,1
353,19,0,57.0,15.0,1
354,13,0,49.0,19.0,1
355,13,0,60.0,12.0,1
356,21,0,23.0,14.0,1
357,19,0,20.0,14.0,1
358,22,0,46.0,14.0,1
359,23,0,42.0,13.0,1
360,21,0,2.0,15.0,1
361,21,0,58.0,17.0,1
362,19,0,54.0,15.0,0
363,17,0,24.0,16.0,1
364,21,0,0.0,18.0,1
365,21,0,2.0,18.0,1
366,18,0,26.0,16.0,1
367,18,0,67.0,27.0,1
368,14,0,94.0,11.0,1
369,22,0,41.0,44.0,1
370,24,0,41.0,40.0,1
371,09,0,12.0,42.0,1
372,03,0,6.0,63.0,1
373,19,0,49.0,15.0,1
374,20,0,58.0,20.0,1
375,19,0,39.0,20.0,1
376,20,0,33.0,21.0,1
377,16,0,21.0,20.0,1
378,19,0,35.0,21.0,1
379,13,0,17.0,45.0,1
380,13,0,15.0,16.0,1
381,03,0,6.0,18.0,1
382,01,0,4.0,29.0,1
383,13,0,31.0,25.0,1
384,21,0,40.0,25.0,1
385,21,0,38.0,32.0,1
386,21,0,1.0,26.0,1
387,21,0,39.0,22.0,0
388,22,0,39.0,21.0,0
389,07,0,10.0,18.0,1
390,05,0,8.0,20.0,1
391,21,0,2.0,23.0,1
392,21,0,36.0,22.0,1
393,19,0,37.0,21.0,1
394,02,0,4.0,23.0,1
395,09,0,47.0,1.0,1
396,16,0,48.0,21.0,1
397,17,0,22.0,19.0,1
398,20,0,28.0,67.0,1
399,19,0,49.0,5.0,1
400,10,0,12.0,10.0,1
401,08,0,11.0,7.0,1
402,16,0,36.0,10.0,1
403,17,0,44.0,8.0,1
404,22,0,33.0,45.0,1
405,22,0,70.0,21.0,1
406,19,0,65.0,17.0,1
407,16,0,56.0,15.0,1
408,21,0,31.0,22.0,1
409,19,0,33.0,23.0,1
410,20,0,62.0,14.0,1
411,18,0,60.0,13.0,1
412,19,0,48.0,23.0,1
413,09,1,13.0,21.0,1
414,09,1,12.0,20.0,1
415,03,1,7.0,20.0,1
416,18,0,61.0,22.0,1
417,02,0,5.0,1.0,1
418,16,0,43.0,24.0,1
419,16,0,41.0,26.0,1
420,21,0,0.0,12.0,1
421,20,0,36.0,11.0,0
422,21,0,35.0,9.0,1
423,21,0,1.0,13.0,1
424,06,0,10.0,9.0,1
425,16,0,59.0,23.0,1
426,22,0,36.0,21.0,1
427,21,0,33.0,19.0,1
428,21,0,2.0,22.0,1
429,21,0,0.0,22.0,1
430,18,0,49.0,16.0,1
431,18,0,29.0,25.0,1
432,19,0,29.0,29.0,1
433,02,0,4.0,20.0,1
434,21,0,0.0,21.0,1
435,01,0,63.0,18.0,1
436,16,0,35.0,25.0,1
437,16,0,31.0,18.0,1
438,16,0,28.0,21.0,1
439,21,0,2.0,27.0,1
440,21,0,1.0,22.0,1
441,19,0,22.0,27.0,1
442,17,0,53.0,12.0,1
443,18,0,28.0,18.0,1
444,22,0,30.0,18.0,1
445,21,0,31.0,16.0,1
446,21,0,59.0,14.0,1
447,21,0,57.0,20.0,1
448,23,0,23.0,12.0,1
